Jurisdicción,Fuente,Fecha de carga,Año de Publicación de la Guia,Programa,ID Programas,Nombre Programa,Ministerio/ Organismo descentralizado,Secretaría ,Sub Secretaría ,Dirección/ unidad,Año de Implementacion Programa,Se encuentra bajo un Plan?,Plan,Clasificador A - Temática,Clasificador Sistema,Objetivo general,Objetivos específicos,Normativa,Población destinataria,Requisitos de Accesibilidad,Criterios de elegibilidad,¿Cuál es el alcance del programa?,Prestación,ID Prestación,Tipo de prestación,Modalidad de ejecución,Tipo de destinatario,Cargo Funcionario,Nombre Funcionario,Nombre Refrente
58. Neuquén,1. Primaria,2024-07-30,2023,ACOMPAÑAR DERECHOS,,ACOMPAÑAR DERECHOS,Ministerio de Desarrollo Social y Trabajo,,Subsecretaría de Desarrollo Social,Dirección Provincial de Planificación y Gestión,,3-Sin Información,,"6-Inclusión Social, Cuidados y Crianzas",2-No contributivo,"Ofrecer un espacio para trabajar con personas que actualmente se desempeñan como acompañantes domiciliarios/sostenes externos, personal de las áreas sociales que trabajan con dicho recurso y/o personas que se quieran formar en la temática del acompañamiento domiciliario","Atender a la demanda de las diferentes áreas del interior respecto a la selección, rol y función de los/as acompañantes domiciliarios. Recabar información específica en relación a las necesidades e intereses de los/as acompañantes domiciliarios y de los equipos técnicos que coordinan la tarea de los/as acompañantes domiciliarios a fin de poder hacer un análisis de ello y planificar los encuentros previstos en el presente proyecto. Brindar espacios de encuentro para proporcionar capacitación sobre el registro del trabajo en territorio del/la acompañante domiciliaria. Presentar y co-construir una planilla de registro de acciones unificada que permita tener documentados los objetivos y las tareas que se realizan para cumplirlos. Ofrecer espacios de capacitación/sensibilización en relación a diferentes temáticas que surjan a partir de la encuesta inicial administrada. Propiciar espacios de co-visión ante situaciones abordadas en las que se requiera el encuentro.","Ley N° 2785, Ley N° 2302, Convención Interamericana de los Derechos Humanos de las Personas Mayores (Ley N° 27360).",Acompañantes Domiciliarios/as sostenes externos/as de municipios y comisiones de fomento del interior de la provincia de Neuquén. Personas interesadas en formar parte de equipos de trabajo destinados al cuidado de personas en situación de vulnerabilidad.,"Los equipos del área social son los únicos responsables de demandar este espacio de acompañamiento a la tarea del/la acompañante domiciliario/a sostén externo/a, como requisito único para poder acceder. Para ello deberán comunicarse con el área de manera presencial, telefónica o vía e- mail.",SD,Total provincia.,"Espacios de capacitación en diferentes temáticas relacionadas con la prestación, bajo modalidad presencial. Espacios de co-visión, ante aquellas situaciones que ameriten un espacio de análisis y reflexión.",,,,,Dirección Provincial de Planificación y Gestión,Lic. Cecilia Lafuente; Lic. Virginia Lafuente; Lic. María Soledad Galera,
58. Neuquén,1. Primaria,2024-07-30,2023,"ACTIVIDADES SOCIALES, RECREATIVAS, CULTURALES Y DEPORTIVAS",,"ACTIVIDADES SOCIALES, RECREATIVAS, CULTURALES Y DEPORTIVAS",Ministerio de Desarrollo Social y Trabajo,,Subsecretaría de Desarrollo Social,Subsecretaría de Familia,,3-Sin Información,,5-Educación,2-No contributivo,"Generar espacios inclusivos, integrales, recreativos, deportivos y culturales, reconociendo a las personas mayores como sujetos activos de derecho en desarrollo de las facultades autónomas e individuales.","Realizar actividades recreativas, deportivas y culturales en las distintas localidades del territorio provincial. Organizar los juegos integrados para personas mayores. Fortalecer la igualdad de oportunidades (acceso a la información). Promover la autonomía, la independencia y la autorrealización (satisfacción de necesidades personales).","Creación del Consejo Provincial de Adulto Mayores. Ley N° 2743. Régimen de Protección Integral para Prevenir, Sancionar y Erradicar la Violencia Familiar. Ley N° 2785. Protección Integral para prevenir, erradicar y sancionar la violencia contra las Mujeres. Ley N° 2786. Régimen Especial de Protección Integral para las Personas con Discapacidad. Ley N° 1634. Adhesión al Sistema de Prestaciones Básicas en Habilitación y Rehabilitación Integral de las Personas con Discapacidad. Ley N° 2644. 2022-147E-NEU-GPN. Convención Internacional de los Derechos de las Persona con Discapacidad. 2021-01263585-NEU-LEGAL “Descentralización de Fondos”.",Personas mayores de 60 años y familias de la provincia de Neuquén.,Los/as interesados/as deberán contar con más de 60 años e inscribirse en las actividades a participar de los juegos integrados.,SD,Total provincia.,SD,,,,,Coordinación Subsecretaría de Familia,Blanca Llanquitur,
58. Neuquén,1. Primaria,2024-07-30,2023,ALIMENTAR + 60,,ALIMENTAR + 60,Ministerio de Desarrollo Social y Trabajo,,Subsecretaría de Desarrollo Social,Coordinación de Enlace Ministerial,,3-Sin Información,,1-Seguridad Alimentaria  ,2-No contributivo,"Fortalecer el buen estado nutricional de las personas mayores de la provincia del Neuquén en situación de vulnerabilidad social, posibilitando el acceso a una alimentación complementaria, suficiente y acorde a las particularidades de salud física, sus costumbres y disponibilidad alimentaria","Confeccionar un módulo alimentario contemplando un aporte adecuado de nutrientes, las características de los alimentos, las posibilidades físicas y patologías típicas de este grupo etario y los medios de cocción y almacenamiento con que se cuente. Generar materiales que constituyan recursos educativos desde las distintas áreas implicadas, con el fin de que los mismos estén a disposición de los beneficiarios del programa. Asistir a la población beneficiaria con un módulo alimentario confeccionado específicamente.","El Programa Alimentar +60, es creado en el marco de la Ley Nacional Nº 25.724 de Programa de Alimentación y Nutrición Nacional y la Convención Interamericana sobre la protección de los derechos humanos de las personas mayores que es ley en nuestro país desde el año 2017.",Personas mayores a partir de los 60 años. Personas mayores que no se encuentran dentro de los beneficios previsionales. Personas mayores con beneficio Ley Provincial N° 809.,DNI. Informe socio ambiental que indique vulnerabilidad social. Certificación que indique que no percibe beneficio previsional.,SD,Total provincia.,Módulo alimentario +60. Material educativo con recomendaciones y recetas saludables.,,,,,Dirección General de Planificación de Políticas Alimentarias,Lic. María Paula Martin,
58. Neuquén,1. Primaria,2024-07-30,2023,FORTALECIMIENTO DE POLÍTICAS SOCIALES. ARTICULACIÓN DE POLÍTICAS SOCIALES. PROGRAMA DE ACOMPAÑAMIENTO A JÓVENES UNIVERSITARIOS/AS - TERCIARIOS/AS,,FORTALECIMIENTO DE POLÍTICAS SOCIALES. ARTICULACIÓN DE POLÍTICAS SOCIALES. PROGRAMA DE ACOMPAÑAMIENTO A JÓVENES UNIVERSITARIOS/AS - TERCIARIOS/AS,Ministerio de Desarrollo Social y Trabajo,,Subsecretaría de Desarrollo Social,Subsecretaría de Familia,,3-Sin Información,,5-Educación,2-No contributivo,"Promover el acceso a la educación de jóvenes estudiantes rurales y urbanos. Facilitar y fomentar el acceso de los jóvenes rurales y urbanos a la educación terciaria con el objetivo de reducir la brecha laboral. Erradicar las violencias por razones de género, mediante la asistencia a familias urbanas o rurales en situación de vulnerabilidad bio-psico social y de riesgo, a través de dispositivos y/o dependencias de la Subsecretaría de Familia. Asistir a familias residentes en áreas urbanas o rurales del interior de la Provincia que se encuentren en situaciones de riesgo y vulnerabilidad bio-psico social.",SD,"Convención Internacional de los Derechos de Niño. Ley Provincial de Protección Integral de la Niñez y Adolescencia N° 2.302. Régimen Provincial de Hogares de Niñas, Niños y Adolescentes Ley N° 2.955. 2022-147E-NEU-GPN “Programas Sociales”. 2021-01263585-NEU-LEGAL “Descentralización de Fondos.” Régimen de Protección Integral para Prevenir, Sancionar y Erradicar la Violencia Familiar. Ley N° 2785. Protección Integral para prevenir, erradicar y sancionar la violencia contra las Mujeres. Ley N° 2786. Régimen Especial de Protección Integral para las Personas con Discapacidad. Ley N° 1634. Adhesión al Sistema de Prestaciones Básicas en Habilitación y Rehabilitación Integral de las Personas con Discapacidad. Ley N° 2644.","Jóvenes estudiantes terciarios/universitarios en situación de vulnerabilidad bio-psico social y de riesgo, que residan en zonas rurales y urbanas del territorio provincial neuquino.","Se accede al programa a través de la gestión de las áreas sociales de niveles locales, áreas psicosociales de hospitales o centros de salud, niveles regionales y/o defensorías de los derechos de los niños, niñas y adolescentes.",SD,Total provincia.,SD,,,,,Coordinación de la Subsecretaría de Familia,Giovanna Buffalo,
58. Neuquén,1. Primaria,2024-07-30,2023,ATENCIÓN Y ASISTENCIA A VÍCTIMAS DE VIOLENCIA,,ATENCIÓN Y ASISTENCIA A VÍCTIMAS DE VIOLENCIA,Ministerio de Desarrollo Social y Trabajo,,Subsecretaría de Desarrollo Social,Subsecretaría de Familia,,3-Sin Información,,7-Prevención de las violencias y asistencia a sus víctimas ,2-No contributivo,"Garantizar la inmediata protección, asistencia y el acompañamiento a las víctimas de violencia familiar en base a un protocolo único de intervención, articulado con los organismos pertinentes. Promover el empoderamiento y la autonomía mediante estrategias de apoyo, asesoramiento, contención psicosocialgestión de recursos y prestaciones socialesderivación a otros serviciosinclusión en los planes y programas de fortalecimiento y promoción socialy acompañamiento psicosocial para desaprender el modelo de conductas violentas","Desarrollar estrategias de fortalecimiento y acompañamiento a los dispositivos internos especializados para el abordaje. Desarrollar dispositivos necesarios para el cumplimiento de la política pública en materia de restauración de derechos vulnerados. Brindar apoyo y contención psicosocial a personas víctimas de violencia familiar. Gestionar recursos, prestaciones sociales y/o su inclusión en programas municipales, provinciales y/o nacionales.","Provincial Ley 2785. Régimen de Protección Integral para prevenir, sancionar y erradicar la violencia familiar. Ley 2786. Protección Integral para prevenir, sancionar y erradicar la violencia contra las mujeres. Nacional Ley 26485. de protección Integral a las mujeres. Ley 23179. Convención sobre eliminación de todas las formas de discriminación contra la mujer.","Personas solas o con sus hijos, personas adultas mayores y/o con discapacidad y disidencias, que se encuentren en vulnerabilidad como consecuencia de atravesar situaciones de violencia de género.","Informe Social-Psicosocial, Oficios, Documentación personal familiar.",SD,Total provincia.,SD,,,,,Coordinación Subsecretaría de Familia,Yasmina Merhej,
58. Neuquén,1. Primaria,2024-07-30,2023,"CAPACITACIÓN EN GÉNERO: LEY NACIONAL N° 27.499 ""LEY MICAELA DE CAPACITACIÓN OBLIGATORIA EN GÉNERO PARA TODAS LAS PERSONAS QUE INTEGRAN LOS TRES PODERES DEL ESTADO"" / ADHESIÓN LEY PROVINCIAL N°3201",,"CAPACITACIÓN EN GÉNERO: LEY NACIONAL N° 27.499 ""LEY MICAELA DE CAPACITACIÓN OBLIGATORIA EN GÉNERO PARA TODAS LAS PERSONAS QUE INTEGRAN LOS TRES PODERES DEL ESTADO"" / ADHESIÓN LEY PROVINCIAL N°3201",Ministerio de Desarrollo Social y Trabajo,,Subsecretaría de Desarrollo Social,Coordinación de Enlace Ministerial,,3-Sin Información,,7-Prevención de las violencias y asistencia a sus víctimas ,2-No contributivo,Capacitar en los contenidos de Ley Micaela a todo el personal del Ministerio de Desarrollo Social y Trabajo de la provincia de Neuquén en todos sus niveles y jerarquías.,"Promover un espacio de reflexión que permita revisar los saberes, acciones y actitudes cotidianas, para problematizarlas, cuestionarlas y modificarlas en un marco de garantía de derechos. Proporcionar recursos legales normativos internacionales, nacionales y provinciales. Proveer herramientas de acción e intervención a los/as agentes estatales.",Ley Nacional N° 27.499 “Ley Micaela de capacitación obligatoria en género para todas las personas que integran los tres poderes del Estado.” Adhesión provincial a través de la Ley Provincial N° 3201.,El programa está destinado a todo el personal de los dispositivos del Ministerio de Desarrollo Social y Trabajo (MDSyT) distribuidos en el territorio neuquino.,Acreditación de Empleado público dependiente del Ministerio de Desarrollo Social y Trabajo.,SD,Total provincia.,Capacitación obligatoria en género para todas las personas que integran los tres poderes del Estado.,,,,,Dirección Provincial de Planificación y Gestión,"AT. Florencia Roma, Ps. Esp. Laura Zaldúa, Lic. Soledad Galera, Ps. Virginia Lafuente, Abog. Gabriela Navarrete, Administrativa. Betiana Calluhuequi.",
58. Neuquén,1. Primaria,2024-07-30,2023,CENTRO ESPECIALIZADO EN MALTRATO Y ABUSO SEXUAL INFANTIL (CEMA),,CENTRO ESPECIALIZADO EN MALTRATO Y ABUSO SEXUAL INFANTIL (CEMA),Ministerio de Desarrollo Social y Trabajo,,Subsecretaría de Desarrollo Social,Coordinación de Enlace Ministerial,,3-Sin Información,,7-Prevención de las violencias y asistencia a sus víctimas ,2-No contributivo,Favorecer el desarrollo de buenas prácticas institucionales que eviten la revictimización y promuevan la restitución de derechos vulnerados de niñeces y adolescencias del territorio provincial a partir del paradigma integral de protección de derechos,"Fortalecer técnica y conceptualmente en materia de maltrato infantil a equipos técnicos y personal idóneo a través de “Encuentros de formación” presencial con apoyatura teórica a través de plataforma digital. Acompañar las intervenciones de los equipos técnicos mediante la generación de espacios de “Escucha, orientación y acompañamiento a la práctica con niñeces y adolescencias” – Supervisión. Promover y fortalecer el armado de redes comunitarias y referentes territoriales con perspectiva de niñez y adolescencia en el campo del maltrato. Promover acciones comunitarias de prevención del maltrato en niñez y adolescencia.",Convención Internacional sobre los Derechos de NNyA. Convención Internacional sobre los derechos de las personas con discapacidad. Principios Internacionales de Yogyakarta. Ley Nacional N°26.061. Ley Nacional N°26.743. Ley Nacional N°23.592. Ley Nacional N°22.431. Ley Provincial N°2302. Ley Provincial N°3299. Ley Provincial N°2955/2963.,"Equipos técnicos y personal idóneo de los dispositivos de abordaje de niñez y adolescencia y delegaciones en el interior de la provincia pertenecientes a la Subsecretaría de Familia, dispositivos asistenciales de la Subsecretaría de Desarrollo Social, municipios, comunidades de pueblos originarios, redes intersectoriales, instituciones educativas de todos los niveles y comisiones de fomento de todo el territorio provincial.",Para acceder al Programa los/as interesados/as deberán contactarse con el mismo vía e- mail o presencial en nuestra oficina.,SD,Total provincia.,SD,,,,,Dirección Provincial de Planificación y Gestión,"Psi. Esp. María Laura Zaldúa, Psi. Josefina Gómez, At. Roma Florencia y Psi. Esp. Andrea Gómez.",
58. Neuquén,1. Primaria,2024-07-30,2023,CENTROS DE FORTALECIMIENTOS FAMILIARES Y CENTROS DE COORDINACIÓN COMUNITARIA,,CENTROS DE FORTALECIMIENTOS FAMILIARES Y CENTROS DE COORDINACIÓN COMUNITARIA,Ministerio de Desarrollo Social y Trabajo,,Subsecretaría de Desarrollo Social,Subsecretaria de Familia,,3-Sin Información,,"6-Inclusión Social, Cuidados y Crianzas",2-No contributivo,"Generar instancias de abordaje comunitario y grupal con una mirada crítica, reflexiva e integral de las problemáticas sociales, a través de la elaboración y ejecución de proyectos para promover la participación y el fortalecimiento ciudadano en la población usuaria.","Trabajar sobre los aspectos que indican riesgos de vulnerabilidad en los sistemas familiares. Coordinar políticas de acompañamiento con otras áreas ministeriales del Poder Ejecutivo, como también organismos del Poder Judicial.","Ley Provincial de Protección Integral de la Niñez y Adolescencia N° 2302. Régimen de Protección Integral para Prevenir, Sancionar y Erradicar la Violencia Familiar. Ley N° 2.785. Régimen Especial de Protección Integral para las Personas con Discapacidad. Ley N° 1.634. Adhesión al Sistema de Prestaciones Básicas en Habilitación y Rehabilitación Integral de las Personas con Discapacidad Ley N° 2.644. Protección Integral para prevenir, erradicar y sancionar la violencia contra las Mujeres. Ley N° 2.786. 2022-147E-NEU-GPN “Programas Sociales”. Ley Nacional N° 26.657 (convenio/Adenda). Convención Internacional de los Derechos de las Personas con Discapacidad. 2021-01263585-NEU-LEGAL “Descentralización de Fondos”.","Familias residentes en la ciudad de Neuquén, en condiciones de vulnerabilidad bio-psico-social y ambiental.","Protección Integral: Gestionados desde las áreas sociales de niveles locales, áreas psicosociales de hospitales o centros de salud y niveles regionales y/o defensorías de los derechos del niño, niña y adolescente.",SD,Total provincia.,Seis Centros de Fortalecimiento Familiar. Dos Centros de Coordinación comunitaria.,,,,,Dirección Provincial de Familia,Bernardita Uriarte Ullarte -Vanesa Araneda,
58. Neuquén,1. Primaria,2024-07-30,2023,COMISIÓN PARA LA ERRADICACIÓN DEL TRABAJO INFANTIL (COPRETI),,COMISIÓN PARA LA ERRADICACIÓN DEL TRABAJO INFANTIL (COPRETI),Ministerio de Desarrollo Social y Trabajo,,Subsecretaría de Desarrollo Social,,,3-Sin Información,,"6-Inclusión Social, Cuidados y Crianzas",2-No contributivo,"Garantizar la prevención y erradicación del Trabajo Infantil en todas sus formas y la protección del Trabajo Adolescente. Garantizar la difusión, sensibilización e información en materia de prevención y erradicación del Trabajo Infantil y la protección del Trabajo Adolescente. Promover, sostener y afianzar un sistema integral de información permanente sobre Trabajo Infantil y Adolescente.",SD,Convención Internacional de los Derechos de Niño. Ley Provincial de Protección Integral de la Niñez y Adolescencia N° 2.302.,"Niñeces, adolescencias, jóvenes y familias de la provincia de Neuquén.",Para conformar el CoProNAF es necesaria una designación de la autoridad del organismo de competencia según corresponda.,SD,Total provincia.,"Gastos de traslado y movilidad. Gastos de impresiones de folletería informativa, material didáctico, cartillas de promoción de derechos de NNyA. Gastos de refrigerio para sesiones ordinarias y extraordinarias del Co.Pro.NAF. Gastos habitacionales. Gastos de actividades recreativas.",,,,,Coordinación Subsecretaría de Familia,Flavia Molli,
58. Neuquén,1. Primaria,2024-07-30,2023,CONSTRUYENDO ESPACIOS DE CRIANZA SALUDABLE,,CONSTRUYENDO ESPACIOS DE CRIANZA SALUDABLE,Ministerio de Desarrollo Social y Trabajo,,Subsecretaría de Desarrollo Social,Coordinación de Enlace Ministerial,,3-Sin Información,,"6-Inclusión Social, Cuidados y Crianzas",2-No contributivo,"Abordar el cambio en la posición subjetiva de quienes tienen la responsabilidad de ejercer los cuidados parentales, propiciando vínculos familiares saludables y responsables. Reflexionar sobre distintos tipos de violencia que están naturalizados en el contexto de la crianza, para que a través del trabajo grupal, se cuestionen, problematicen y desnaturalicen distintas situaciones, generando mayor implicancia en la crianza de las/os niñas/os.","Conocer las distintas formas de crianzas y abordar el impacto que tienen en la constitución subjetiva de las niñeces, repensando roles. Propiciar el ejercicio y restitución de derechos de los niños y niñas, abordando el cambio en la posición de las figuras maternas y paternas, revisando y repensando sus roles en la misma. Abordar las dificultades que presentan padres, madres o responsables en torno a la crianza de cada hija/o. Generar nuevos recursos simbólicos en los padres, madres y cuidadores participantes. Fortalecer a padres, madres y cuidadores, dándoles, por un lado, un espacio en el que se sientan apoyados en la crianza de sus hijas/os, y por otro, recursos para que esa crianza se desarrolle sin violencia. Generar espacios de sostén y contención a través del respeto y confianza, donde las/os participantes puedan expresar con libertad lo que piensan, hacen y sienten, para posibilitar la construcción de nuevas miradas. Propiciar la comunicación clara, como instrumento primordial para expresarse, generando mayor registro de los efectos negativos de las conductas impulsivas y reacciones violentas en el desarrollo y en los vínculos que estos establecerán en el futuro.","Ley N° 2785 Régimen de Protección Integral para Prevenir, Sancionar y Erradicar la Violencia Familiar. Ley N° 2302 Protección Integral de la Niñez, Adolescencia y Familia.","Familias que atraviesan situaciones de vulnerabilidad psicológica, maltrato infantil, vulneración de derechos de niñas y niños, madres, padres, referentes afectivos, familia extensa o responsables de los cuidados de niños y niñas que estén en proceso de intervención psicosocial por equipos técnicos en las localidades del interior de la provincia del Neuquén. Equipos técnicos e idóneos del interior de la Provincia, a través de los espacios de co-visión. Población en general y en especial de las zonas rurales a través de los spots radiales. Padres/madres/tutores de los niños/as que asisten a los Jardines de Infantes de la ciudad de Neuquén.","Los/las participantes serán seleccionados por los equipos intervinientes y derivados a través de una planilla con información concreta de la situación. No podrán ingresar al espacio personas que estén atravesando situaciones de consumo problemático. Quienes atraviesen una situación de salud mental, deberán estar estabilizados/as. El número de participantes a los talleres no debe ser menor a 5 y superior a 12. En el caso de los encuentros en jardines de infantes, el número dependerá de la convocatoria la cual podría ser superior a 12 personas. Los spots radiales están destinados a la comunidad en general y tiene por objetivo llegar a las zonas rurales dónde la participación a los espacios de encuentro se ve obstaculizada por las distancias y las dinámicas familiares. Los espacios de co-visión se encuentran abiertos a la demanda de los equipos profesionales e idóneos. El requisito es enviar con dos días de anticipación los informes y datos de la situación a revisar al mail institucional. Ser padres/madres/tutores de los niños/as que asistan a los Jardines de Infantes de la ciudad de Neuquén, convocados por el equipo directivo de la institución educativa.",SD,Total provincia.,Talleres vivenciales con temáticas asociadas a los diferentes tipos de crianzas saludables. Encuentros grupales con familias para trabajar temáticas cotidianas que repercuten en la salud física y emocional de niñas y niños. Spot radiales con recomendaciones acerca de accidentes domésticos y hábitos saludables en la crianza de niños y niñas. Espacios de co-visión con los equipos profesionales o idóneos que se encuentran interviniendo en situaciones dónde se vieron vulnerados los derechos de niños/as en su contexto familiar.,,,,,Dirección Provincial de Planificación y Gestión,Lic. María Cecilia Lafuente - Lic. María Soledad Galera - Lic. Andrea Gómez - Lic. Josefina Gómez,
58. Neuquén,1. Primaria,2024-07-30,2023,FORTALECIMIENTO DE POLÍTICAS SOCIALES. DELEGACIONES DE GESTIÓN SOCIAL,,FORTALECIMIENTO DE POLÍTICAS SOCIALES. DELEGACIONES DE GESTIÓN SOCIAL,Ministerio de Desarrollo Social y Trabajo,,Subsecretaría de Desarrollo Social,Subsecretaría de Familia,,3-Sin Información,,7-Prevención de las violencias y asistencia a sus víctimas ,2-No contributivo,"Promover y reducir la brecha laboral entre los géneros. Fomentar el acceso a la información de mujeres rurales y en situaciones de vulnerabilidad, favoreciendo el acceso al empleo formal. Generar políticas públicas que garanticen el acceso a la salud integral de las personas. Propiciar la descentralización de la ejecución de políticas sociales en las diferentes localidades de la Provincia, a través de la asistencia técnico-financiera, en un marco de autonomía municipal. Garantizar la efectiva restitución de derechos en el marco de las leyes que rigen la materia de competencia de la Subsecretaría de Familia. Propiciar el desarrollo de abordajes integrales de los derechos de niños y niñas en situaciones de alto riesgo detectado y/o con situación de vulneración de derechos.",SD,"Convención Internacional de los Derechos de Niño. Ley Provincial de Protección Integral de la Niñez y Adolescencia N° 2.302. Régimen Provincial de Hogares de Niñas, Niños y Adolescentes Ley N° 2.955. Ley del Programa de Acompañamiento para egreso de jóvenes sin cuidados parentales N° 27.364. 2022-147E-NEU-GPN “Programas Sociales”. 2021-01263585-NEU-LEGAL “Descentralización de Fondos.” Creación del Consejo Provincial de Adulto Mayores. Ley N° 2743. Régimen de Protección Integral para Prevenir, Sancionar y Erradicar la Violencia Familiar. Ley N° 2785. Protección Integral para prevenir, erradicar y sancionar la violencia contra las Mujeres. Ley N° 2786. Régimen Especial de Protección Integral para las Personas con Discapacidad. Ley N° 1634. Adhesión al Sistema de Prestaciones Básicas en Habilitación y Rehabilitación Integral de las Personas con Discapacidad. Ley N° 2644. 2022-147E-NEU-GPN. Convención Internacional de los Derechos de las Persona con Discapacidad.","Niños, niñas y adolescentes, personas mayores, personas con discapacidades, familias, personas víctimas de violencia familiar y/o por razones de género, residentes en áreas urbanas y rurales del interior de la Provincia que se encuentren en situación de riesgo y vulnerabilidad bio-psico social.","Protección Integral: Gestionados desde las áreas sociales de niveles locales, áreas psicosociales de hospitales o centros de salud, niveles regionales y/o Defensorías de los derechos del niño, niña y/o adolescente. Protección Excepcional: Dispuestos por el Poder Judicial a requerimiento de las Defensorías o del Órgano Administrativo. Requisitos: Informe Social-Psicosocial, Oficios, Documentación personal familiar.",SD,Total provincia.,Dirección de Gestión Social Aluminé. Dirección de Gestión Social Añelo. Dirección de Gestión Social Chos Malal. Dirección de Gestión Social Junín de los Andes. Dirección de Gestión Social Picún Leufú. Dirección de Gestión Social Plaza Huincul. Dirección de Gestión Social San Martín de los Andes. Dirección de Gestión Social Subdelegación Minas. Dirección de Gestión Social Zapala. Casas integrales.,,,,,Coordinación de la Subsecretaría de Familia,Giovanna Buffalo,
58. Neuquén,1. Primaria,2024-07-30,2023,DISPOSITIVOS DE MEDIDAS DE PROTECCIÓN,,DISPOSITIVOS DE MEDIDAS DE PROTECCIÓN,Ministerio de Desarrollo Social y Trabajo,,Subsecretaría de Desarrollo Social,Subsecretaría de Familia,,3-Sin Información,,7-Prevención de las violencias y asistencia a sus víctimas ,2-No contributivo,"Garantizar el resguardo y la protección integral de las personas albergadas, considerando la especificidad de cada situación, las 24 horas, los 365 días del año","Realizar el acompañamiento en la ruta crítica. Desarrollar estrategias que potencien el fortalecimiento y la autonomía de las personas. Acompañar la gestión de herramientas de desarrollo laboral y relacional, con la finalidad de entablar vínculos saludables. Propiciar encuentros con otras dependencias inter y/o intrainstitucionales a fin de reforzar o mejorar articulaciones necesarias para la tarea común, según las incumbencias que a cada parte le atañen.","Ley Nº 2785. Régimen de Protección Integral para prevenir, sancionar y erradicar la violencia familiar. Ley Nº 2786. Protección Integral para prevenir, sancionar y erradicar la violencia contra las mujeres. Ley Nº 3033. Campaña de activismo mundial de las Naciones Unidas para poner fin a la violencia contra las mujeres y las niñas. Ley Nacional Nº 26485 de Protección Integral para prevenir, sancionar y erradicar la violencia contra las mujeres. Ley Nº 23179 Convención sobre Eliminación de todas las formas de Discriminación contra la Mujer.","Mujeres y mujeres trans, solas o acompañadas de sus niños, niñas y/o adolescentes que se encuentren transitando una situación de violencia por motivos de género que implique un “Código A” (peligro inminente de la integridad física y/o psicológica de la persona que sufre violencia).","Informe Social-Psicosocial, Oficios y Documentación personal Familiar.",SD,Total provincia.,Dispositivo de Medidas de Protección “Madre Teresa”. Casas Integrales de la Mujer.,,,,,Coordinación Subsecretaría de Familia,Yasmina Merhej.,
58. Neuquén,1. Primaria,2024-07-30,2023,FAMILIAS SOLIDARIAS,,FAMILIAS SOLIDARIAS,Ministerio de Desarrollo Social y Trabajo,,Subsecretaría de Desarrollo Social,Subsecretaría de Familia,,3-Sin Información,,"6-Inclusión Social, Cuidados y Crianzas",2-No contributivo,"Restituir los derechos vulnerados de niños/as y adolescentes, abordando las causas que originaron la toma de la medida de protección excepcional por parte de la autoridad judicial, de acuerdo a lo establecido en la ley 2302. Garantizar un ambiente familiar y comunitario que brinde el máximo nivel de bienestar integral a los niños/as y adolescentes.","Elaborar estrategias de restitución de derechos de niñas, niños y adolescentes, acorde a cada situación particular. Convocar a personas y familias para postularse como Familias Solidarias. Seleccionar a personas y familias que cumplan los requisitos necesarios para ser Familias Solidarias. Seleccionar a Familias extensas de niñeces y adolescencias para el resguardo y contención de los/as mismos/as. Realizar acuerdos interinstitucionales para garantizar la restitución de derechos que hayan sido vulnerados. Brindar acompañamiento y orientación a quienes conforman el programa. Proveer a los/as destinatarios/as un aporte económico para acceder o adquirir los bienes y servicios necesarios para el mejoramiento de su situación de vulnerabilidad bio-psico-social y ambiental.","Convención Internacional de los Derechos de Niño. Ley Provincial de Protección Integral de la Niñez y Adolescencia N° 2.302. Régimen Provincial de Hogares de Niñas, Niños y Adolescentes Ley N° 2.955. 2022-147E-NEU-GPN “Programas Sociales”. 2021-01263585-NEU-LEGAL “Descentralización de Fondos”.",Niñeces y Adolescencias que se encuentran transitando una medida de protección excepcional.,"Protección Excepcional: Dispuestos por el Poder Judicial a requerimiento de las Defensorías o del Órgano Administrativo. Requisitos: Informe Social-Psicosocial, Resolución 308/20, Oficios, Documentación personal Familiar.",SD,Total provincia.,"Tratamientos no provistos por el Sistema de Salud Pública. Elementos de rehabilitación que no estén cubiertos por la Obra Social o el Sistema de Salud Pública. Movilidad (para acceder a centros de salud, instituciones educativas, etc). Servicios transitorios de cuidado y acompañamiento domiciliario. Registro de Familias Solidarias.",,,,,Coordinación Subsecretaría de Familia,Luciana Uriburu - Silvina Garay,
